loss,accuracy,mae,val_loss,val_accuracy,val_mae
3.181619167327881,0.38731515407562256,0.2709101438522339,2.718268871307373,0.31355932354927063,0.28472086787223816
2.2652809619903564,0.4850347340106964,0.24165643751621246,2.8279802799224854,0.4043583571910858,0.241463765501976
2.1665079593658447,0.5287724733352661,0.22843746840953827,2.5481045246124268,0.4830508530139923,0.23334485292434692
2.4997010231018066,0.5614644289016724,0.21760882437229156,3.2823400497436523,0.3958837687969208,0.26833638548851013
2.8509857654571533,0.5938001275062561,0.20743291079998016,3.5827996730804443,0.32203391194343567,0.2821635603904724
2.598372459411621,0.5939782857894897,0.20480813086032867,2.6960065364837646,0.4806295335292816,0.24940480291843414
2.3222999572753906,0.6167824864387512,0.197093665599823,5.100635528564453,0.2239709496498108,0.30754271149635315
2.1128294467926025,0.6348654627799988,0.18864616751670837,2.9621152877807617,0.43220338225364685,0.2349824160337448
1.9410207271575928,0.6517904996871948,0.1812475323677063,4.377770900726318,0.18523003160953522,0.32653987407684326
1.795495867729187,0.6660431027412415,0.17389307916164398,2.341151237487793,0.4624697268009186,0.24259087443351746
1.6038814783096313,0.6980224251747131,0.16199570894241333,2.129232168197632,0.5036319494247437,0.22992582619190216
1.5345544815063477,0.7213611006736755,0.1509944051504135,2.2030222415924072,0.4757869243621826,0.2355749011039734
1.4828835725784302,0.7332085967063904,0.14354990422725677,2.175717353820801,0.4237288236618042,0.24855856597423553
1.483047366142273,0.7522715330123901,0.13604356348514557,3.355592966079712,0.342615008354187,0.26225775480270386
1.3782436847686768,0.7765900492668152,0.12402878701686859,2.1255908012390137,0.47941887378692627,0.220662459731102
1.3676353693008423,0.792624294757843,0.11498209834098816,2.2078566551208496,0.501210629940033,0.2208566665649414
1.2973707914352417,0.8125779628753662,0.1036621704697609,2.1184685230255127,0.5072638988494873,0.21563340723514557
1.2710212469100952,0.8303046226501465,0.09536368399858475,2.8061015605926514,0.4588377773761749,0.22119857370853424
1.2271559238433838,0.8445572853088379,0.08803495019674301,1.9660357236862183,0.5508474707603455,0.20456750690937042
1.160964012145996,0.8556921482086182,0.08054058253765106,2.4012064933776855,0.5072638988494873,0.21022243797779083
1.1602619886398315,0.8746659755706787,0.07329769432544708,2.3766376972198486,0.47699758410453796,0.21990688145160675
1.1130825281143188,0.8813468813896179,0.06844130158424377,2.5457985401153564,0.4782082438468933,0.2188754379749298
1.0867433547973633,0.8959558010101318,0.06039104610681534,2.2687621116638184,0.5302663445472717,0.20195040106773376
1.0825612545013428,0.9041510820388794,0.056824248284101486,2.6656670570373535,0.5254237055778503,0.2042662501335144
1.0446702241897583,0.9089613556861877,0.052805133163928986,2.6179733276367188,0.509685218334198,0.20273436605930328
0.9736672639846802,0.9205415844917297,0.04782683029770851,2.244891881942749,0.5581113696098328,0.1845199167728424
0.9741657972335815,0.9179583191871643,0.04724214971065521,2.422518253326416,0.5205811262130737,0.19914044439792633
0.9185264706611633,0.9274897575378418,0.04325234889984131,2.753278970718384,0.5024213194847107,0.2029699981212616
0.9703773260116577,0.9198289513587952,0.04640140384435654,3.5506041049957275,0.4552057981491089,0.22022554278373718
0.9488824605941772,0.9281132817268372,0.043761737644672394,15.03039836883545,0.4503631889820099,0.22321906685829163
0.9486246705055237,0.9304293394088745,0.04167722910642624,2.532808542251587,0.5072638988494873,0.19727866351604462
0.8235042691230774,0.9443256855010986,0.03439810872077942,2.391416549682617,0.5108959078788757,0.19969476759433746
0.842436671257019,0.9446820020675659,0.033866479992866516,3.158243417739868,0.47215497493743896,0.2166372537612915
0.825184166431427,0.9438802599906921,0.03345559909939766,2.6040778160095215,0.495157390832901,0.20971719920635223
